zip_id,lat,lon,prescriber_count,prevalence_index,potential,current_rep,greedy_rep,optimized_rep
Z000,37.454011884736246,94.04585843529144,21,4.137096611217116,80.0,21,18,18
Z001,95.07143064099162,95.39285770025873,18,14.541179460325008,236.9,22,4,4
Z002,73.1993941811405,91.48643902204485,20,1.9693772947725368,37.2,21,21,21
Z003,59.86584841970366,37.01587002554444,9,2.094966568374146,15.7,8,20,20
Z004,15.601864044243651,1.5456616528867428,28,8.51074455296299,280.0,0,2,2
Z005,15.599452033620265,92.83185625877253,18,2.066172585238902,38.0,21,15,15
Z006,5.8083612168199465,42.81841483173143,16,2.1011373484433338,31.0,9,12,12
Z007,86.61761457749351,96.66548190436696,18,5.249173030112345,90.6,23,4,4
Z008,60.11150117432088,96.36199770892529,20,9.138126173493568,178.9,23,21,21
Z009,70.80725777960456,85.300945546736,22,10.45271925202926,239.2,19,16,21
Z010,2.0584494295802447,29.444889206958567,16,1.9882566798135641,32.0,6,12,12
Z011,96.99098521619943,38.50977286019253,21,2.4291567876880515,59.6,8,0,0
Z012,83.24426408004217,85.11366715168569,28,4.127254321948844,115.4,19,4,4
Z013,21.233911067827616,31.692200515627768,20,4.273617934642586,102.3,6,12,17
Z014,18.182496720710063,16.94927466860925,9,2.8970132167755396,29.7,5,2,2
Z015,18.34045098534338,55.68012624583501,17,1.6678009270824934,25.0,12,7,7
Z016,30.42422429595377,93.6154774160781,20,3.2485293688514676,76.2,21,18,18
Z017,52.475643163223786,69.6029796674973,24,10.445420226354381,212.2,15,1,1
Z018,43.194501864211574,57.0061170089365,18,2.1675239420343435,44.0,13,1,1
Z019,29.122914019804192,9.717649377076853,24,3.9451817654056964,90.2,3,11,11
Z020,61.18528947223795,61.500722669916975,18,15.040581655438004,311.7,13,8,8
Z021,13.949386065204184,99.00538501042632,29,2.1419328878129034,71.3,23,15,15
Z022,29.214464853521815,14.008401523652402,15,5.422145893687977,91.3,4,11,11
Z023,36.63618432936917,51.832965236373674,20,10.736419777613404,239.6,11,17,13
Z024,45.606998421703594,87.73730719279554,13,5.102803054980591,61.2,20,9,9
Z025,78.51759613930136,74.07686177542044,19,7.093672749341322,112.2,16,16,22
Z026,19.967378215835975,69.7015740995268,19,5.932295198160585,108.3,15,3,7
Z027,51.42344384136116,70.24840839871092,20,4.822150336542569,83.8,16,1,1
Z028,59.24145688620425,35.94911512197552,25,8.327129281717312,224.4,7,20,20
Z029,4.645041271999773,29.359184426449335,13,5.304508405430819,64.7,6,12,12
Z030,60.75448519014384,80.93611554785136,22,2.9201874729150883,76.5,18,16,16
Z031,17.052412368729154,81.01133946791808,22,3.7266775781468153,86.6,18,6,6
Z032,6.505159298527952,86.70723185801037,13,4.378732255387664,64.3,20,15,15
Z033,94.88855372533332,91.32405525564712,17,2.4173887582136095,35.1,21,4,4
Z034,96.56320330745594,51.13423988609378,18,3.8514953294718457,79.4,11,10,10
Z035,80.83973481164611,50.15162946871996,26,3.454675299197367,105.0,11,10,10
Z036,30.46137691733707,79.82951789667752,19,5.293164037901198,100.0,18,3,3
Z037,9.767211400638388,64.99639307777652,18,12.61946480662066,236.8,15,23,23
Z038,68.42330265121569,70.19668772577033,19,4.019590626766866,84.5,16,16,16
Z039,44.01524937396013,79.57926694361011,19,9.290428379360678,153.6,18,9,9
Z040,12.203823484477883,89.00053418175663,21,5.16216349366947,108.5,20,15,15
Z041,49.51769101112702,33.79951568515358,11,3.838744182817686,40.5,7,13,13
Z042,3.4388521115218396,37.5582952639944,13,2.308410148070268,25.8,8,12,12
Z043,90.9320402078782,9.3981939840869,14,3.860005009002041,51.2,3,14,14
Z044,25.87799816000169,57.8280140996174,14,3.688581741361938,42.7,13,7,7
Z045,66.2522284353982,3.5942273796742086,25,1.8327179142358245,37.1,1,5,5
Z046,31.171107608941096,46.55980181324602,21,2.0884474250835146,37.5,10,17,17
Z047,52.00680211778108,54.26446347075766,15,4.405229031504019,78.3,12,1,1
Z048,54.67102793432797,28.65412521282844,14,9.229560526518064,131.8,6,20,20
Z049,18.485445552552704,59.08332605690107,14,3.1664326445294297,52.6,13,7,7
Z050,96.95846277645586,3.050024993904943,13,0.8182022501090921,10.3,0,14,14
Z051,77.51328233611146,3.7348188749214417,15,1.3306886391489505,18.5,1,19,19
Z052,93.9498941564189,82.26005606596583,19,5.517208151640873,105.1,19,4,22
Z053,89.48273504276489,36.019064141126286,21,0.9999725545267617,20.5,7,0,0
Z054,59.78999788110851,12.706051265188478,10,6.131567334714856,51.6,4,5,5
Z055,92.18742350231169,52.224326005480435,23,5.309758543691894,129.0,11,10,22
Z056,8.84925020519195,76.99935530986109,14,3.0837636182122568,38.3,17,6,6
Z057,19.59828624191452,21.582102749684317,17,1.846986391342557,32.9,5,2,12
Z058,4.522728891053807,62.28904758190003,20,2.74845556182375,58.3,14,23,23
Z059,32.53303307632643,8.5347464993768,18,4.327468783823594,67.1,2,11,11
Z060,38.8677289689482,5.16817211686077,8,1.033626349220181,6.8,1,11,11
Z061,27.134903177389592,53.1354631568148,19,8.623430620971131,182.2,12,7,7
Z062,82.87375091519293,54.06351216101065,13,4.298863313980917,55.0,12,10,10
Z063,35.67533266935893,63.742990149820656,19,4.657214883304312,72.8,14,3,1
Z064,28.093450968738075,72.60913337226616,16,5.283465357095861,101.3,16,3,3
Z065,54.26960831582485,97.58520794625346,15,8.07768533284915,99.7,23,21,21
Z066,14.092422497476264,51.630034830119534,20,3.8669313400494354,83.4,11,23,23
Z067,80.21969807540397,32.2956472941246,23,5.519547107313759,151.5,7,10,14
Z068,7.455064367977082,79.51861947687037,12,1.8741445821666702,20.1,18,6,6
Z069,98.68869366005173,27.083225126207424,20,10.480749688362083,179.6,5,0,0
Z070,77.22447692966574,43.89714207056361,18,3.675158628547192,56.1,10,10,10
Z071,19.87156815341724,7.845638134226595,16,1.865961254785926,27.5,2,2,2
Z072,0.5522117123602399,2.535074341545751,21,2.308915814131071,40.7,0,2,2
Z073,81.54614284548342,96.26484146779251,20,0.4477141049741479,9.6,22,4,4
Z074,70.68573438476172,83.59801205122058,12,2.296561445135715,22.7,19,16,16
Z075,72.90071680409874,69.59742060936979,15,0.1745985127602618,2.6,15,16,16
Z076,77.12703466859458,40.89529444142699,14,5.80175578601237,97.4,9,10,10
Z077,7.4044651734090365,17.329432007084577,12,4.5569549890740895,61.6,5,2,2
Z078,35.84657285442726,15.643704267108605,13,1.4080948692333943,19.1,4,11,11
Z079,11.586905952512971,25.024289816459532,23,3.211654492119392,68.1,5,12,12
Z080,86.31034258755935,54.92266647061205,14,3.3240402669080367,48.8,12,10,10
Z081,62.329812682755794,71.45959227000624,27,1.147805616289351,31.3,16,16,16
Z082,33.08980248526492,66.01973767177313,20,2.79473737656195,54.2,15,3,3
Z083,6.355835028602364,27.993389694594285,23,3.403235285105688,66.7,6,12,12
Z084,31.09823217156622,95.48652806631941,17,2.7349886826232255,53.7,22,18,18
Z085,32.518332202674706,73.78969166957685,19,1.86432619216084,34.7,16,3,3
Z086,72.96061783380641,55.43540525114007,13,1.358333178227185,15.5,12,8,8
Z087,63.75574713552131,61.17207462343522,16,2.658939289144375,40.3,13,8,8
Z088,88.72127425763266,41.96000624277899,14,2.0653604925324194,27.9,9,10,10
Z089,47.22149251619493,24.773098950115745,19,5.0410740956036495,108.3,5,13,13
Z090,11.959424593830171,35.597267865126156,17,8.40914387540757,156.3,7,12,12
Z091,71.3244787222995,75.78461104643691,17,6.336049897986179,119.3,17,16,16
Z092,76.07850486168974,1.4393488629755868,16,3.489680973000724,44.9,0,19,19
Z093,56.127719756949624,11.607264050691624,22,1.9264323087827493,41.0,4,5,5
Z094,77.0967179954561,4.600264202175275,19,6.220121152354953,117.3,1,19,19
Z095,49.379559636439076,4.072880231897013,17,5.257005340929822,72.2,1,5,5
Z096,52.27328293819941,85.54605840110072,13,8.023034712681694,94.3,19,9,9
Z097,42.75410183585496,70.36578593800236,27,3.870006411676464,115.4,16,1,1
Z098,2.541912674409519,47.41738290873252,11,10.124787111144336,95.2,10,23,23
Z099,10.789142699330444,9.783416065100148,20,3.870894016164886,78.5,3,2,2
